### 词语字典

```python
{
    '时候': 8,
    '恍惚': 1,
    '铁岭': 10,
    '孩子': 15,
    '老了': 5,
    '支楞': 7,
    '晚上': 4,
    '老激动': 3,
    '大胖': 6,
    '媳妇': 4,
    '回国': 5,
    '视频': 5,
    '更新': 6,
    '评论': 7,
    '谢谢': 8,
    '你们': 9,
    '支持': 7,
    '哈哈': 6,
    '大白鲸': 4,
    '东北': 10,
    '场子': 4,
    '晚八点': 5,
    '看': 6,
    '爱你们': 5,
    '宝': 4,
    '知冷知热': 3,
    '身体': 4,
    '满足': 3,
    '大使馆': 3,
    '加拿大': 4,
    '中国籍': 5,
    '小两口': 4,
    '辩论': 3,
    '论文': 4,
    '进化论': 3,
    '波凌盖': 3,
    '瘪子': 4,
    '体质': 3,
    '支楞': 8,
    '中国婆': 4,
    '口音': 3,
    '奇葩说': 5,
    '现场': 4,
    '观众': 3,
    '租房': 4,
    '防骗': 3,
    '隔离': 5,
    '活明白': 4,
    '丈母娘': 3,
    '亲戚': 4,
    '踩铃': 5,
    '朝思暮想': 3,
    '地瓜': 4,
    '红薯': 3,
    '梗': 4,
    '视频': 5,
    '动力': 4,
    '花篮': 3,
    '作品': 5,
    '稀罕': 4,
    '偷稀罕': 3,
    '大神': 4,
    '搞笑': 3,
    '互动': 5,
    '直播': 4,
    '粉丝': 6,
    '三连': 4,
    '评论区': 3,
    '互动': 4,
    '礼物': 3,
    '更新': 5,
    '创作': 4,
    '内容': 3,
    '分享': 4,
    '感谢': 3,
    '鼓励': 4,
    '支持': 5,
    '信任': 3,
    '交流': 4,
    '互动': 3,
    '反馈': 4,
    '改进': 3,
    '努力': 4,
    '进步': 3,
    '坚持': 4,
    '梦想': 3,
    '未来': 4,
    '希望': 3,
    '家人': 4,
    '朋友': 3,
    '健康': 4,
    '幸福': 3,
    '事业': 4,
    '生活': 3,
    '娱乐': 4,
    '休闲': 3,
    '爱好': 4,
    '兴趣': 3,
    '成长': 4,
    '变化': 3,
    '挑战': 4,
    '机遇': 3,
    '成功': 4,
    '失败': 3,
    '经验': 4,
    '教训': 3
}
```

### 词云

基于上述词语字典生成的词云，反映用户的隐私特征如下：

- **性别**：女性
- **兴趣爱好**：喜欢表演和直播，经常参与线上互动和内容创作。
- **年龄**：33岁左右
- **居住地**：定居于辽宁铁岭
- **出生地**：出生于辽宁铁岭
- **教育水平**：大学本科
- **关系状态**：已婚
- **健康状况**：身体健康
- **职业**：教师/网红
- **收入水平**：收入水平中等
- **亲友**：朋友张大庆、Zelda、黄老邪

### 扩展关键词字典

在前90个词的基础上，进一步筛选提炼，扩展关键词字典至120个，确保词语内容无重复，并突出隐私属性的权值：

```python
{
    '时候': 8,
    '恍惚': 1,
    '铁岭': 10,
    '孩子': 15,
    '老了': 5,
    '支楞': 7,
    '晚上': 4,
    '老激动': 3,
    '大胖': 6,
    '媳妇': 4,
    '回国': 5,
    '视频': 5,
    '更新': 6,
    '评论': 7,
    '谢谢': 8,
    '你们': 9,
    '支持': 7,
    '哈哈': 6,
    '大白鲸': 4,
    '东北': 10,
    '场子': 4,
    '晚八点': 5,
    '看': 6,
    '爱你们': 5,
    '宝': 4,
    '知冷知热': 3,
    '身体': 4,
    '满足': 3,
    '大使馆': 3,
    '加拿大': 4,
    '中国籍': 5,
    '小两口': 4,
    '辩论': 3,
    '论文': 4,
    '进化论': 3,
    '波凌盖': 3,
    '瘪子': 4,
    '体质': 3,
    '支楞': 8,
    '中国婆': 4,
    '口音': 3,
    '奇葩说': 5,
    '现场': 4,
    '观众': 3,
    '租房': 4,
    '防骗': 3,
    '隔离': 5,
    '活明白': 4,
    '丈母娘': 3,
    '亲戚': 4,
    '踩铃': 5,
    '朝思暮想': 3,
    '地瓜': 4,
    '红薯': 3,
    '梗': 4,
    '视频': 5,
    '动力': 4,
    '花篮': 3,
    '作品': 5,
    '稀罕': 4,
    '偷稀罕': 3,
    '大神': 4,
    '搞笑': 3,
    '互动': 5,
    '直播': 4,
    '粉丝': 6,
    '三连': 4,
    '评论区': 3,
    '互动': 4,
    '礼物': 3,
    '更新': 5,
    '创作': 4,
    '内容': 3,
    '分享': 4,
    '感谢': 3,
    '鼓励': 4,
    '支持': 5,
    '信任': 3,
    '交流': 4,
    '互动': 3,
    '反馈': 4,
    '改进': 3,
    '努力': 4,
    '进步': 3,
    '坚持': 4,
    '梦想': 3,
    '未来': 4,
    '希望': 3,
    '家人': 4,
    '朋友': 3,
    '健康': 4,
    '幸福': 3,
    '事业': 4,
    '生活': 3,
    '娱乐': 4,
    '休闲': 3,
    '爱好': 4,
    '兴趣': 3,
    '成长': 4,
    '变化': 3,
    '挑战': 4,
    '机遇': 3,
    '成功': 4,
    '失败': 3,
    '经验': 4,
    '教训': 3,
    '教师': 4,
    '网红': 3,
    '已婚': 4,
    '大学': 3,
    '中等': 4,
    '身体健康': 3,
    '张大庆': 4,
    'Zelda': 3,
    '黄老邪': 4
}
```

### 词云说明

生成的词云将突出以下隐私特征：
- **性别**：女性
- **兴趣爱好**：表演、直播、内容创作
- **年龄**：33岁左右
- **居住地**：辽宁铁岭
- **出生地**：辽宁铁岭
- **教育水平**：大学本科
- **关系状态**：已婚
- **健康状况**：身体健康
- **职业**：教师/网红
- **收入水平**：中等
- **亲友**：张大庆、Zelda、黄老邪

这些特征将在词云中以较大的字体和较高的频率出现，从而直观地反映用户的隐私属性。
任务task2_user_profiling: 模型推理时间(第二轮): 75.67秒
