### 词语字典
```python
{
    '时候': 8,
    '恍惚': 1,
    '聊天': 5,
    '1987年': 2,
    '页码': 3,
    '电子版': 4,
    '截图': 2,
    '邮件': 1,
    '流程图': 2,
    '视频': 6,
    '流程': 2,
    '修改': 2,
    '复杂': 2,
    '听的': 2,
    '糊里糊涂': 2,
    '感谢': 10,
    '法治': 8,
    '法律': 7,
    '刑法': 5,
    '平等': 4,
    '机会权利': 3,
    '不患寡而患不均': 2,
    '黄金世界': 2,
    '避免': 2,
    '最坏结果': 2,
    '法治': 8,
    '提醒': 3,
    '自恋': 2,
    '法治信念': 2,
    '幽暗': 2,
    '伪善': 2,
    '高尚': 2,
    '拖拽': 2,
    '事与愿违': 2,
    '法律随笔': 2,
    '先贤': 2,
    '柏拉图': 3,
    '勇敢': 2,
    '保持': 2,
    '基本权利': 2,
    '犯罪': 4,
    '道德': 3,
    '捉麻雀': 2,
    '谷底': 2,
    '裁判文书网': 2,
    '正义': 3,
    '向阳而生': 2,
    '法治之光': 2,
    '直播': 2,
    '惶恐': 2,
    '固有': 2,
    '偏见': 2,
    '文学': 4,
    '浅薄': 2,
    '宏大叙事': 2,
    '涓细流': 2,
    '理想国': 3,
    '太阳之喻': 2,
    '线段之喻': 2,
    '读后感': 2,
    '门童': 2,
    '观察': 2,
    '思考': 2,
    '人类': 2,
    '先贤对话': 2,
    '警醒': 2,
    '内心': 2,
    '幽暗': 2,
    '伪善': 2,
    '高尚': 2,
    '拖拽': 2,
    '事与愿违': 2,
    '法治': 8,
    '提醒': 3,
    '自恋': 2,
    '法治信念': 2,
    '幽暗': 2,
    '伪善': 2,
    '高尚': 2,
    '拖拽': 2,
    '事与愿违': 2,
    '法律随笔': 2,
    '先贤': 2,
    '柏拉图': 3,
    '勇敢': 2,
    '保持': 2,
    '基本权利': 2,
    '犯罪': 4,
    '道德': 3,
    '捉麻雀': 2,
    '谷底': 2,
    '裁判文书网': 2,
    '正义': 3,
    '向阳而生': 2,
    '法治之光': 2,
    '直播': 2,
    '惶恐': 2,
    '固有': 2,
    '偏见': 2,
    '文学': 4,
    '浅薄': 2,
    '宏大叙事': 2,
    '涓细流': 2,
    '理想国': 3,
    '太阳之喻': 2,
    '线段之喻': 2,
    '读后感': 2,
    '门童': 2,
    '观察': 2,
    '思考': 2,
    '人类': 2,
    '先贤对话': 2,
    '警醒': 2,
    '内心': 2,
    '幽暗': 2,
    '伪善': 2,
    '高尚': 2,
    '拖拽': 2,
    '事与愿违': 2,
    '法治': 8,
    '提醒': 3,
    '自恋': 2,
    '法治信念': 2,
    '幽暗': 2,
    '伪善': 2,
    '高尚': 2,
    '拖拽': 2,
    '事与愿违': 2,
    '法律随笔': 2,
    '先贤': 2,
    '柏拉图': 3,
    '勇敢': 2,
    '保持': 2,
    '基本权利': 2,
    '犯罪': 4,
    '道德': 3,
    '捉麻雀': 2,
    '谷底': 2,
    '裁判文书网': 2,
    '正义': 3,
    '向阳而生': 2,
    '法治之光': 2,
    '直播': 2,
    '惶恐': 2,
    '固有': 2,
    '偏见': 2,
    '文学': 4,
    '浅薄': 2,
    '宏大叙事': 2,
    '涓细流': 2,
    '理想国': 3,
    '太阳之喻': 2,
    '线段之喻': 2,
    '读后感': 2,
    '门童': 2,
    '观察': 2,
    '思考': 2,
    '人类': 2,
    '先贤对话': 2,
    '警醒': 2,
    '内心': 2,
    '幽暗': 2,
    '伪善': 2,
    '高尚': 2,
    '拖拽': 2,
    '事与愿违': 2,
    '法治': 8,
    '提醒': 3,
    '自恋': 2,
    '法治信念': 2,
    '幽暗': 2,
    '伪善': 2,
    '高尚': 2,
    '拖拽': 2,
    '事与愿违': 2,
    '法律随笔': 2,
    '先贤': 2,
    '柏拉图': 3,
    '勇敢': 2,
    '保持': 2,
    '基本权利': 2,
    '犯罪': 4,
    '道德': 3,
    '捉麻雀': 2,
    '谷底': 2,
    '裁判文书网': 2,
    '正义': 3,
    '向阳而生': 2,
    '法治之光': 2,
    '直播': 2,
    '惶恐': 2,
    '固有': 2,
    '偏见': 2,
    '文学': 4,
    '浅薄': 2,
    '宏大叙事': 2,
    '涓细流': 2,
    '理想国': 3,
    '太阳之喻': 2,
    '线段之喻': 2,
    '读后感': 2,
    '门童': 2,
    '观察': 2,
    '思考': 2,
    '人类': 2,
    '先贤对话': 2,
    '警醒': 2,
    '内心': 2,
    '幽暗': 2,
    '伪善': 2,
    '高尚': 2,
    '拖拽': 2,
    '事与愿违': 2,
    '法治': 8,
    '提醒': 3,
    '自恋': 2,
    '法治信念': 2,
    '幽暗': 2,
    '伪善': 2,
    '高尚': 2,
    '拖拽': 2,
    '事与愿违': 2,
    '法律随笔': 2,
    '先贤': 2,
    '柏拉图': 3,
    '勇敢': 2,
    '保持': 2,
    '基本权利': 2,
    '犯罪': 4,
    '道德': 3,
    '捉麻雀': 2,
    '谷底': 2,
    '裁判文书网': 2,
    '正义': 3,
    '向阳而生': 2,
    '法治之光': 2,
    '直播': 2,
    '惶恐': 2,
    '固有': 2,
    '偏见': 2,
    '文学': 4,
    '浅薄': 2,
    '宏大叙事': 2,
    '涓细流': 2,
    '理想国': 3,
    '太阳之喻': 2,
    '线段之喻': 2,
    '读后感': 2,
    '门童': 2,
    '观察': 2,
    '思考': 2,
    '人类': 2,
    '先贤对话': 2,
    '警醒': 2,
    '内心': 2,
    '幽暗': 2,
    '伪善': 2,
    '高尚': 2,
    '拖拽': 2,
    '事与愿违': 2,
    '法治': 8,
    '提醒': 3,
    '自恋': 2,
    '法治信念': 2,
    '幽暗': 2,
    '伪善': 2,
    '高尚': 2,
    '拖拽': 2,
    '事与愿违': 2,
    '法律随笔': 2,
    '先贤': 2,
    '柏拉图': 3,
    '勇敢': 2,
    '保持': 2,
    '基本权利': 2,
    '犯罪': 4,
    '道德': 3,
    '捉麻雀': 2,
    '谷底': 2,
    '裁判文书网': 2,
    '正义': 3,
    '向阳而生': 2,
    '法治之光': 2,
    '直播': 2,
    '惶恐': 2,
    '固有': 2,
    '偏见': 2,
    '文学': 4,
    '浅薄': 2,
    '宏大叙事': 2,
    '涓细流': 2,
    '理想国': 3,
