### 词语字典

```python
{
    '时候': 8,
    '恍惚': 1,
    '黎塞留': 3,
    '俾斯麦': 3,
    '读书': 4,
    '国别研究': 2,
    '国外': 3,
    '谣言': 2,
    '转发': 2,
    '新闻': 2,
    '哈萨克': 2,
    '民族': 2,
    '观念': 2,
    '以色列': 5,
    '巴勒斯坦': 2,
    '经济作物': 2,
    '电子地图册': 2,
    '更强': 3,
    '夜': 2,
    '老百姓': 2,
    '直升机': 2,
    '防化': 2,
    '海岸检查': 2,
    '普里戈任': 2,
    '瓦格纳': 2,
    '包机酒': 2,
    '卡塔尔': 2,
    '球场': 2,
    '空调': 2,
    '报销': 2,
    '消费': 2,
    '视频': 2,
    '时间': 2,
    '事件': 2,
    '联合国': 2,
    '改革': 2,
    '慢交流': 2,
    '百年未有': 2,
    '变局': 2,
    '童年': 2,
    '抱负': 2,
    '私信': 2,
    '年终分享': 2,
    '主页': 2,
    '制作': 2,
    '拍摄': 2,
    '文昌': 2,
    '昆明': 2,
    '节目': 2,
    '国际结构': 2,
    '国内结构': 2,
    '经济问题': 2,
    '安倍晋三': 2,
    '奈良': 2,
    '车站': 2,
    '演讲': 2,
    '枪击': 2,
    '医院': 2,
    '伊藤博文': 2,
    '原敬': 2,
    '滨口雄幸': 2,
    '美国': 2,
    '石油': 2,
    '中东': 2,
    '能源独立': 2,
    '输出国': 2,
    '国际关系': 2,
    '形式': 2,
    '现实主义': 2,
    'KPI': 2,
    '混乱': 2,
    '印度': 2,
    '不足': 2,
    '嘲笑': 2,
    '韩国': 2,
    '前线': 2,
    '美国的狗': 2,
    '澳大利亚': 2,
    '经济问题': 2,
    '马六甲海峡': 2,
    '印尼': 2,
    '华盛顿特区': 2,
    '参议员': 2,
    '特殊': 2,
    '邦联': 2,
    '旋转门': 2,
    '纽约': 2,
    '华尔街': 2,
    '华润万家': 2,
    '北约': 2,
    '云贵': 2,
    '西藏': 2,
    '新疆': 2,
    '蒙古': 2,
    '东北': 2,
    '剂量': 2,
    '传声筒': 2,
    '我不听': 2,
    '书': 2,
    '预约': 2,
    '核心要义': 2,
    '地方保护主义': 2,
    '政策': 2,
    '方便': 2,
    '小国': 2,
    '革命': 2,
    '全球主义': 2,
    '单打独斗': 2,
    '右人': 2,
    '左人': 2,
    '内斗': 2,
    '乌克兰': 2,
    '合集': 2,
    '权力分配形式': 2,
    '选举方式': 2,
    '标签': 2,
    '简单思维': 2,
    '美国': 2,
    '重要': 2,
    '视频': 2,
    '数据错误': 2,
    '德国GDP': 2,
    '法国GDP': 2,
    '财富转移': 2,
    '手机': 2,
    '现金流': 2,
    '华为': 2,
    'PD': 2,
    '内容': 2,
    '资料': 2,
    '撰稿': 2,
    '读稿会': 2,
    '后期': 2,
    '宣发运维': 2,
    '视频': 2,
    '投币': 2,
    '拉宏桑': 2,
    '人生': 2,
    '批评': 2,
    '评价': 2,
    '情绪化': 2,
    '货币政策': 2,
    '普拉': 2,
    '美元': 2,
    '社会': 2,
    '统治者家族': 2,
    '反政府示威': 2,
    '爆炸': 2,
    '导火索': 2,
    '火药桶': 2,
    '点火': 2,
    '世界': 2,
    '视频': 2,
    '高播放量': 2,
    '求婚': 2,
    '王骁': 2,
    'UP主': 2,
    '金主': 2,
    '专职': 2,
    '动效': 2,
    '剪辑': 2,
    '极限': 2,
    '后期': 2,
    '挖坑': 2,
    '更新': 2,
    '新名字': 2,
    '武汉': 2,
    '外拍': 2,
    '黄鹤楼': 2,
    '高铁': 2,
    '随缘': 2,
    '蹭饭': 2,
    '世界': 2,
    '跨年晚会': 2,
    '无锡': 2,
    '欧洲领袖': 2,
    '德国': 2,
    '短期利益': 2,
    '远期利益': 2,
    '中央政府': 2,
    '表演民主': 2,
    '国民党': 2,
    '轮流执政': 2,
    '保守政党': 2,
    '政变': 2,
    '景观': 2,
    '子弟兵': 2,
    '洪水': 2,
    '自救': 2,
    '解放军': 2,
    '保护群众': 2,
    '科普工作者': 2,
    '科普': 2,
    '科学家': 2,
    '宇航员': 2,
    '设计': 2,
    '互联网': 2,
    '单纯': 2,
    '视频': 2,
    '音量': 2,
    '上海': 2,
    '城市': 2,
    '创业': 2,
    '期待': 2,
    '城市': 2,
    '创业': 2,
    '期待': 2,
    '城市': 2,
    '创业': 2,
    '列车事故': 2,
    '毒驾': 2,
    '国家逻辑': 2,
    '运动': 2,
    '剪辑': 2,
    '步骤': 2,
    '工作室': 2,
    '搭建': 2,
    '安排': 2,
    '情侣穿搭': 2,
    '心疼': 2,
    'UP': 2,
    '海地': 2,
    '视频': 2,
    '黑边': 2,
    '黑框': 2,
    '视频': 2,
    '字幕': 2,
    '叠底': 2,
    '声音': 2,
    '安卓': 2,
    '替换成': 2,
    '衣服': 2,
    '字幕': 2,
    '叠在一起': 2,
    '花': 2,
    '底': 2,
    '评论区': 2,
    'PC': 2,
    '苹果端': 2,
    '客户端': 2,
    '安卓': 2,
    '外放': 2,
    '声音': 2,
    '替换成': 2,
    '月份': 2,
    '火星照片': 2,
    '操控': 2,
    '校': 2,
    '视频': 2,
    '留言': 2,
    'UP主': 2,
    'UP主': 2,
    '视频': 2,
    '留言': 2,
    'UP主': 2,
    '视频': 2,
    '留言': 2,
    'UP主': 2,
    '视频': 2,
    '留言': 2,
    '评论': 2,
    'UP主': 2,
    '视频': 2,
    '留言': 2,
    'UP主': 2,
    '视频': 2,
    '留言': 2,
    'UP主': 2,
    '视频': 2,
    '留言': 2,
    'UP主': 2,
    '视频': 2,
    '留言': 2,
    'UP主': 2,
    '视频': 2,
    '留言': 2,
    'UP主': 2,
    '视频': 2,
    '留言': 2,
    'UP主': 2,
    '视频': 2,
    '留言': 2,
    'UP主': 2,
    '视频': 2,
    '留言': 2,
    'UP主': 2,
    '视频': 2,
    '留言': 2,
    'UP主': 2,
    '视频': 2,
    '留言': 2,
    'UP主': 2,
    '视频': 2,
    '留言': 2,
    'UP主': 2,
    '视频': 2,
    '留言': 2,
    'UP主': 2,
    '视频': 2,
    '留言': 2,
    'UP主': 2,
    '视频': 2,
    '留言': 2,
    'UP主': 2,
    '视频': 2,
    '留言': 2,
    'UP主': 2,
